#Data tag : 19v3 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/fb) | recorded(/fb) |
| 321773:7087 | 08/25/18 12:11:58 | 55   | 55   | 0.022124395    | 0.021058783   |
| 321774:7087 | 08/25/18 12:43:49 | 117  | 117  | 0.045889276    | 0.043723139   |
| 321775:7087 | 08/25/18 13:36:11 | 13   | 13   | 0.004960631    | 0.004807240   |
| 321776:7087 | 08/25/18 13:57:38 | 29   | 29   | 0.010628238    | 0.010304681   |
| 321777:7087 | 08/25/18 14:14:59 | 187  | 187  | 0.063976900    | 0.058616866   |
| 321778:7087 | 08/25/18 16:07:27 | 127  | 127  | 0.037333649    | 0.036058295   |
| 321780:7087 | 08/25/18 17:04:57 | 481  | 481  | 0.116933559    | 0.113674716   |
| 321781:7087 | 08/25/18 20:38:11 | 372  | 372  | 0.069158862    | 0.066633418   |
| 321813:7090 | 08/26/18 09:21:02 | 308  | 308  | 0.120319901    | 0.116419730   |
| 321815:7090 | 08/26/18 12:01:16 | 23   | 23   | 0.007776365    | 0.005120206   |
| 321817:7090 | 08/26/18 12:20:00 | 535  | 535  | 0.153300874    | 0.148473508   |
| 321818:7090 | 08/26/18 15:50:06 | 687  | 687  | 0.142371142    | 0.138015351   |
| 321820:7090 | 08/26/18 20:26:15 | 66   | 66   | 0.010937110    | 0.010673263   |
| 321831:7091 | 08/27/18 00:10:22 | 734  | 734  | 0.252563659    | 0.243009177   |
| 321832:7091 | 08/27/18 05:06:22 | 289  | 289  | 0.073723158    | 0.071835754   |
| 321834:7091 | 08/27/18 11:05:28 | 333  | 333  | 0.051569711    | 0.049809506   |
| 321879:7092 | 08/27/18 17:57:43 | 258  | 258  | 0.093547821    | 0.089100260   |
| 321880:7092 | 08/27/18 20:01:46 | 130  | 130  | 0.042742253    | 0.041375820   |
| 321887:7095 | 08/28/18 01:04:04 | 885  | 885  | 0.285088095    | 0.274284933   |
| 321908:7097 | 08/28/18 13:40:10 | 411  | 411  | 0.149950878    | 0.143440045   |
| 321909:7097 | 08/28/18 16:31:34 | 1612 | 1612 | 0.340709605    | 0.330223678   |
| 321917:7098 | 08/29/18 05:24:24 | 798  | 798  | 0.271675031    | 0.261219957   |
| 321919:7098 | 08/29/18 10:38:52 | 6    | 6    | 0.001642874    | 0.001488823   |
| 321933:7099 | 08/29/18 14:09:13 | 274  | 274  | 0.101833577    | 0.098038516   |
| 321960:7101 | 08/29/18 21:26:49 | 24   | 24   | 0.007956220    | 0.007304486   |
| 321961:7101 | 08/29/18 21:43:01 | 353  | 353  | 0.137845318    | 0.131710052   |
| 321973:7105 | 08/30/18 09:44:30 | 1205 | 1205 | 0.372698429    | 0.358666936   |
| 321975:7105 | 08/30/18 17:37:18 | 866  | 866  | 0.150778733    | 0.145783784   |
| 321988:7108 | 08/31/18 03:56:29 | 1325 | 1325 | 0.399105341    | 0.384021716   |
| 321990:7108 | 08/31/18 13:16:37 | 470  | 470  | 0.083145333    | 0.080854738   |
| 322013:7109 | 08/31/18 18:44:38 | 5    | 5    | 0.001437657    | 0.001146111   |
| 322014:7109 | 08/31/18 18:52:10 | 17   | 17   | 0.007087789    | 0.006669868   |
| 322022:7110 | 08/31/18 21:02:55 | 1734 | 1734 | 0.466094782    | 0.449316237   |
| 322040:7112 | 09/01/18 11:09:06 | 39   | 39   | 0.014437023    | 0.013692424   |
| 322057:7114 | 09/01/18 20:28:32 | 21   | 21   | 0.008912977    | 0.008235478   |
| 322068:7117 | 09/02/18 02:40:56 | 628  | 628  | 0.228557694    | 0.218083112   |
| 322079:7118 | 09/02/18 11:24:26 | 341  | 341  | 0.138753138    | 0.132483655   |
| 322106:7120 | 09/02/18 21:40:43 | 545  | 545  | 0.208143888    | 0.201530279   |
| 322113:7122 | 09/03/18 06:38:00 | 92   | 92   | 0.038907668    | 0.037429110   |
| 322118:7122 | 09/03/18 07:20:37 | 860  | 860  | 0.278532205    | 0.267993865   |
| 322179:7123 | 09/03/18 16:39:51 | 1661 | 1661 | 0.463835280    | 0.446512398   |
| 322201:7124 | 09/04/18 05:57:36 | 119  | 119  | 0.049914053    | 0.047601268   |
| 322204:7124 | 09/04/18 07:24:58 | 937  | 937  | 0.258583652    | 0.248940776   |
| 322222:7124 | 09/04/18 14:54:08 | 486  | 486  | 0.088831825    | 0.085516150   |
| 322252:7125 | 09/04/18 20:29:20 | 1245 | 1245 | 0.339841966    | 0.326387743   |
| 322317:7127 | 09/05/18 12:01:44 | 48   | 48   | 0.018326554    | 0.017535626   |
| 322319:7127 | 09/05/18 12:25:29 | 147  | 147  | 0.058454377    | 0.051589752   |
| 322322:7127 | 09/05/18 13:29:27 | 1105 | 1105 | 0.303152655    | 0.292462613   |
| 322324:7127 | 09/05/18 21:27:53 | 361  | 361  | 0.062449539    | 0.060597106   |
| 322332:7128 | 09/06/18 02:11:56 | 963  | 963  | 0.304535792    | 0.292429745   |
| 322348:7131 | 09/06/18 13:43:39 | 1460 | 1460 | 0.427934046    | 0.412072940   |
| 322355:7132 | 09/07/18 01:05:42 | 98   | 98   | 0.035647715    | 0.033484999   |
| 322356:7132 | 09/07/18 01:45:19 | 742  | 742  | 0.232121700    | 0.224491840   |
| 322381:7133 | 09/07/18 11:10:32 | 531  | 531  | 0.185536937    | 0.178180522   |
